Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788591656,40,POST,/auth/token,0.000000,0.000000,53,54,59,59,64,64,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591656,40,GET,/proxy/ok,9.700000,0.000000,24,28,34,37,55,94,120,180,180,180,180,179,0,22,44.30788073743986,7.713381999565172,755.0855509998655,62.70949720670391
1788591656,40,GET,/whoami,32.900000,0.000000,10,14,18,21,28,43,55,85,140,140,140,528,0,9,14.491472869296599,3.8073030000305152,151.0262440006045,37.895833333333336
1788591656,40,,Aggregated,42.600000,0.000000,13,18,23,26,37,51,85,94,180,180,180,747,0,13,22.66423917937361,3.8073030000305152,755.0855509998655,53.96251673360107
1788591657,40,POST,/auth/token,0.000000,0.000000,53,54,59,59,64,64,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591657,40,GET,/proxy/ok,9.800000,0.000000,24,27,32,37,55,94,120,180,180,180,180,189,0,22,42.68585273016397,7.713381999565172,755.0855509998655,62.7037037037037
1788591657,40,GET,/whoami,33.100000,0.000000,9,14,18,21,29,44,61,85,140,140,140,561,0,9,14.097094647037277,3.745389999494364,151.0262440006045,37.893048128342244
1788591657,40,,Aggregated,42.900000,0.000000,13,18,23,26,37,52,85,94,180,180,180,790,0,12,21.928702029102087,3.745389999494364,755.0855509998655,53.39873417721519
1788591658,40,POST,/auth/token,0.000000,0.000000,53,54,59,59,64,64,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591658,40,GET,/proxy/ok,10.400000,0.000000,24,28,35,40,55,94,120,180,180,180,180,197,0,22,41.430060131982465,7.713381999565172,755.0855509998655,62.70558375634518
1788591658,40,GET,/whoami,32.900000,0.000000,9,14,18,21,29,44,61,85,140,140,140,589,0,9,13.73763057043582,3.745389999494364,151.0262440006045,37.89473684210526
1788591658,40,,Aggregated,43.300000,0.000000,12,18,23,26,37,54,85,94,180,180,180,826,0,12,21.308431709429772,3.745389999494364,755.0855509998655,52.964891041162225
1788591659,40,POST,/auth/token,0.000000,0.000000,53,54,59,59,64,64,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591659,40,GET,/proxy/ok,10.000000,0.000000,22,28,34,42,55,94,120,180,180,180,180,208,0,22,40.73961909135995,7.713381999565172,755.0855509998655,62.70192307692308
1788591659,40,GET,/whoami,33.500000,0.000000,9,13,17,20,28,44,61,85,140,140,140,618,0,9,13.649878629427265,3.745389999494364,151.0262440006045,37.89320388349515
1788591659,40,,Aggregated,43.500000,0.000000,12,17,22,25,37,54,85,94,180,180,180,866,0,12,21.082037071582754,3.745389999494364,755.0855509998655,52.581986143187066
1788591660,40,POST,/auth/token,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591660,40,GET,/proxy/ok,10.100000,0.000000,22,27,34,44,56,94,120,180,180,180,180,218,0,21,39.818147495417186,7.713381999565172,755.0855509998655,62.711009174311926
1788591660,40,GET,/whoami,32.900000,0.000000,9,13,17,20,29,44,61,85,140,140,140,649,0,9,13.552308984566682,3.745389999494364,151.0262440006045,37.89368258859784
1788591660,40,,Aggregated,43.000000,0.000000,12,17,22,25,39,55,85,94,180,180,180,907,0,12,20.753454272311433,3.745389999494364,755.0855509998655,52.19404630650496
1788591661,40,POST,/auth/token,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591661,40,GET,/proxy/ok,9.500000,0.000000,22,27,32,40,56,94,120,180,180,180,180,222,0,21,39.44784659910642,7.713381999565172,755.0855509998655,62.711711711711715
1788591661,40,GET,/whoami,33.500000,0.000000,9,14,18,21,31,44,61,85,140,140,140,681,0,9,13.589940919214762,3.745389999494364,151.0262440006045,37.8942731277533
1788591661,40,,Aggregated,43.000000,0.000000,13,17,22,26,39,55,85,94,180,180,180,943,0,12,20.52995763625517,3.745389999494364,755.0855509998655,51.75397667020148
1788591662,40,POST,/auth/token,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591662,40,GET,/proxy/ok,9.900000,0.000000,22,27,35,47,60,94,120,180,180,180,180,235,0,22,39.24492365532639,7.713381999565172,755.0855509998655,62.71063829787234
1788591662,40,GET,/whoami,33.300000,0.000000,10,14,17,21,33,46,74,85,140,140,140,712,0,9,13.935831244362163,3.745389999494364,151.0262440006045,37.89185393258427
1788591662,40,,Aggregated,43.200000,0.000000,13,17,23,26,44,57,85,94,180,180,180,987,0,12,20.762357897658873,3.745389999494364,755.0855509998655,51.46099290780142
1788591663,40,POST,/auth/token,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591663,40,GET,/proxy/ok,10.100000,0.000000,22,27,32,36,52,60,77,110,110,110,110,248,0,22,38.76678463307364,7.713381999565172,755.0855509998655,62.71774193548387
1788591663,40,GET,/whoami,33.600000,0.000000,9,13,16,18,28,44,67,79,140,140,140,739,0,9,13.895182411353586,3.745389999494364,151.0262440006045,37.893098782138026
1788591663,40,,Aggregated,43.700000,0.000000,12,17,21,24,38,51,71,79,140,140,140,1027,0,12,20.672133136313835,3.745389999494364,755.0855509998655,51.249269717624145
1788591664,40,POST,/auth/token,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591664,40,GET,/proxy/ok,9.900000,0.000000,20,27,34,38,51,57,77,110,110,110,110,257,0,22,38.470139719847865,7.713381999565172,755.0855509998655,62.719844357976655
1788591664,40,GET,/whoami,32.800000,0.000000,9,12,15,17,25,39,67,79,140,140,140,771,0,9,13.872841042791945,3.745389999494364,151.0262440006045,37.89105058365759
1788591664,40,,Aggregated,42.700000,0.000000,11,15,19,22,36,50,67,79,140,140,140,1068,0,12,20.53404933707419,3.745389999494364,755.0855509998655,50.94475655430712
1788591665,40,POST,/auth/token,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591665,40,GET,/proxy/ok,9.900000,0.000000,20,27,34,42,52,61,77,86,86,86,86,265,0,22,38.726940867926935,7.713381999565172,755.0855509998655,62.72075471698113
1788591665,40,GET,/whoami,33.500000,0.000000,9,12,14,17,28,38,56,74,81,81,81,798,0,9,14.213145600240837,3.745389999494364,151.0262440006045,37.893483709273184
1788591665,40,,Aggregated,43.400000,0.000000,11,15,19,22,36,50,66,77,86,86,86,1103,0,12,20.808982646413938,3.745389999494364,755.0855509998655,50.71260199456029
1788591666,40,POST,/auth/token,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591666,40,GET,/proxy/ok,9.600000,0.000000,23,30,39,48,60,77,91,110,110,110,110,277,0,22,39.1534388628161,7.713381999565172,755.0855509998655,62.714801444043324
1788591666,40,GET,/whoami,29.900000,0.000000,10,13,16,18,29,39,56,74,81,81,81,833,0,9,14.378343014400338,3.745389999494364,151.0262440006045,37.890756302521005
1788591666,40,,Aggregated,39.500000,0.000000,12,17,22,26,39,55,74,84,110,110,110,1150,0,12,21.01760055304112,3.745389999494364,755.0855509998655,50.444347826086954
1788591667,40,POST,/auth/token,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591667,40,GET,/proxy/ok,9.400000,0.000000,26,36,48,52,61,86,100,110,110,110,110,287,0,22,39.515700923348746,7.713381999565172,755.0855509998655,62.717770034843205
1788591667,40,GET,/whoami,29.700000,0.000000,11,15,18,20,30,39,56,74,81,81,81,861,0,9,14.483170657369596,3.745389999494364,151.0262440006045,37.89198606271777
1788591667,40,,Aggregated,39.100000,0.000000,14,19,23,28,43,57,79,91,110,110,110,1188,0,13,21.177268047978163,3.745389999494364,755.0855509998655,50.253367003367
1788591668,40,POST,/auth/token,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591668,40,GET,/proxy/ok,9.300000,0.000000,26,36,44,50,61,86,100,110,110,110,110,296,0,22,38.97328480743638,7.713381999565172,755.0855509998655,62.722972972972975
1788591668,40,GET,/whoami,29.700000,0.000000,12,15,18,20,31,39,56,74,81,81,81,892,0,9,14.385534816137765,3.745389999494364,151.0262440006045,37.89125560538117
